username,how_many_reviews,location,date,rating,rating_title,rating_description,date_of_experience
Barry Truhn,2,US,"Aug 3, 2024",Rated 5 out of 5 stars,Fulfilled my request to cancel order…,Fulfilled my request to cancel order quickly and efficiently.,"August 03, 2024"
Carol,4,US,"Apr 5, 2024",Rated 5 out of 5 stars,Clickbank had to issue the refund after…,Clickbank had to issue the refund after months of trying to get the company to issue it.,"April 04, 2024"
Rebecca M.,1,US,"Apr 13, 2024",Rated 5 out of 5 stars,My cancelation was done effortlessly…,My cancelation was done effortlessly and I appreciate that. Great customer service. Thank you so much.,"April 13, 2024"
VB,1,US,"May 13, 2024",Rated 5 out of 5 stars,Refund Process,The whole process took just a few minutes. I was very pleased with the response/replies of the person I was dealing with.,"May 13, 2024"
Susan Schulte,2,US,"Apr 28, 2024",Rated 5 out of 5 stars,She was very nice and treated me with…,She was very nice and treated me with respect and I appreciated it very much.,"April 28, 2024"
Karen Collins,1,AU,6 days ago,Rated 4 out of 5 stars,Quick response and no hassles,Quick response and no hassles,"August 29, 2024"
RICHARD GARRETT,2,US,"Jun 26, 2024",Rated 5 out of 5 stars,Experience with Clickbank,Carlos answered all my questions and was very helpful.,"June 26, 2024"
nicelady,3,GB,"Apr 24, 2024",Rated 1 out of 5 stars,These guys are scammers! Beware. Fraudsters,These guys are scammers. I have not even heard of them and they have taken money out of my bank accounts. Did not even go looking for them. Money just was taken from my account. Scammers Thieves. I don't even know what your business is. Stop troubling people trying to provide for their families please! First £10 then £19 then another £19 a few days apart?,"April 24, 2024"
Mirko Allicino,1,MC,"May 17, 2024",Rated 5 out of 5 stars,Carlos was of a great help,"Carlos was of a great help, gave me all the reuired info quickly and precisly","May 17, 2024"
Margaret Steven,1,CA,"Jun 6, 2024",Rated 5 out of 5 stars,Carlos was very concise and to the…,Carlos was very concise and to the point. No time wasted to get my refund started.,"June 06, 2024"
S A Wood,2,CA,"Apr 21, 2024",Rated 5 out of 5 stars,Margarette is amazing,Margarette was very pleasant to deal with and handled  all requested perfectly,"April 20, 2024"
Lucy,1,US,"May 10, 2024",Rated 4 out of 5 stars,Carlos was very helpful and although…,Carlos was very helpful and although the issue is still not resolved he gave his time and did his best to assist me.,"May 10, 2024"
Syedsobri Syedhassan,1,MY,"Aug 16, 2024",Rated 5 out of 5 stars,karime is good agent support,,"August 16, 2024"
Ed Schulenburg,3,US,"Jun 14, 2024",Rated 5 out of 5 stars,That you do what you say you will do. The world is full of dishonesty,Victor was a great help in handling my request,"June 14, 2024"
Fran Froh,1,US,"May 20, 2024",Rated 5 out of 5 stars,very easy process,very easy processCarlos did an excellent job,"May 19, 2024"
Diane Silverberg,1,US,"May 22, 2024",Rated 5 out of 5 stars,Carlos was very helpful and issued the…,Carlos was very helpful and issued the refund promptly.,"May 22, 2024"
Mimi,1,US,"Aug 17, 2024",Rated 5 out of 5 stars,Very helpful on the chat,,"August 17, 2024"
Yvonne Keller,1,US,"Aug 9, 2024",Rated 5 out of 5 stars,Great service,Was easy to communicate and Francisca resolved my issue.,"August 09, 2024"
Betty Clink,1,US,"Aug 9, 2024",Rated 5 out of 5 stars,Just talking to her,"Just talking to her, she helped me alot. And thanks..","August 08, 2024"
Sabu Windsong,3,US,"Apr 28, 2024",Rated 3 out of 5 stars,My review is about Voice Over…VO Accelerator - FAKE!,My review is about Voice Over Accelerator. I did not receive the program to actually record a voice. I am very disappointed about this.,"April 28, 2024"
kristie,1,US,"Apr 21, 2024",Rated 5 out of 5 stars,margaret,"the lady, Margaret, I believe was very polite and helpful","April 20, 2024"
LOL LOL,1,CA,"Apr 10, 2024",Rated 5 out of 5 stars,Great Service from Rolly,Replies were fast and cut to the chase. The response-time on refund was fast as well,"April 09, 2024"
John Doe,1,US,"May 13, 2024",Rated 4 out of 5 stars,Java Burn order status inquiry,Person could not answer my question but was helpful by reaching out to merchant on my behalf.,"May 13, 2024"
Eileen Riley,4,GB,"May 10, 2024",Rated 5 out of 5 stars,Thank you Katherine  you have been so…,Thank you Katherine  you have been so helpful thank you Eileen 😊,"May 10, 2024"
SP,1,US,"Aug 10, 2024",Rated 5 out of 5 stars,Karen was great!,,"August 10, 2024"
Aakanksha Mattey,3,IN,"May 7, 2024",Rated 5 out of 5 stars,Happy with after sales service!,"I am delighted with their customer care experience, specially support provided by Katherinne in solving my problem related to a ClickBank purchase!","May 07, 2024"
Angie Ancheta Parrish,1,US,5 days ago,Rated 5 out of 5 stars,Excellent service,Excellent job!,"August 29, 2024"
Haley McKee,1,US,"Aug 9, 2024",Rated 5 out of 5 stars,Very helpful and straight to the point,,"August 09, 2024"
Mark Foss,2,US,"May 17, 2024",Rated 5 out of 5 stars,I have had two interactions (Dana,"I have had two interactions (Dana, Katherine) BOTH WERE OUTSTANDING. PROFESSIONAL and CARING individuals. Today Katherine quickly assisted.","May 17, 2024"
Jean Gorton,4,US,"May 21, 2024",Rated 5 out of 5 stars,Anna was very help,"Anna was very help, patient & took the time with me to make sure everything was done.  She was great thank you Anna.  You are the bomb.com :)","May 20, 2024"
Todd Hannon,1,US,"May 29, 2024",Rated 5 out of 5 stars,Luis was helpful and straight to the…,Luis was helpful and straight to the point. Great service!,"May 28, 2024"
John Mikula,3,US,"May 3, 2024",Rated 5 out of 5 stars,Elias was helpful and pleasant to work…,Elias was helpful and pleasant to work with.,"May 03, 2024"
Beverly Talley,1,US,"Jun 10, 2024",Rated 5 out of 5 stars,Carlos was very helpful and polite!,,"June 10, 2024"
Hugo Beato,1,PT,"Apr 8, 2024",Rated 5 out of 5 stars,Very happy with the assistance…,Very happy with the assistance provided. No issues at all,"April 08, 2024"
Tracey Croth,1,CA,"May 16, 2024",Rated 5 out of 5 stars,Elias was helpful and concise and to…,Elias was helpful and concise and to the point,"May 16, 2024"
William Bormann,1,US,"Aug 1, 2024",Rated 5 out of 5 stars,CHANTAL made sure everything was fine,,"August 01, 2024"
Erika Kittel,2,DE,"Aug 2, 2024",Rated 5 out of 5 stars,Your prompt service,,"August 02, 2024"
Tasha Pennerman,1,US,"Apr 9, 2024",Rated 5 out of 5 stars,Prompt service,I was helped promptly. Rezel was very helpful and addressed all my concerns,"April 08, 2024"
Glynis Spencer,60,GB,"May 15, 2024",Rated 5 out of 5 stars,Carlos,"My contact, Carlos was most helpful","May 15, 2024"
Ernest Roy,1,US,"Apr 10, 2024",Rated 5 out of 5 stars,The person I talked to helped me very…,The person I talked to helped me very much. It was easy to follow along with the person.,"April 09, 2024"
Teri Dewitt,2,US,"Jun 21, 2024",Rated 5 out of 5 stars,Everything I've asked for,"Everything I've asked for, they've always got me what I needed.","June 21, 2024"
DEBBIE TUIT,5,US,"Jun 10, 2024",Rated 5 out of 5 stars,Manuel is a Keeper!,Manuel was extremely helpful and quick to help.,"June 10, 2024"
Pamela Bouchard,1,US,"Apr 16, 2024",Rated 5 out of 5 stars,Chrissy was very helpful and…,Chrissy was very helpful and knowledgeable,"April 15, 2024"
Janis Wond,3,GB,"Apr 5, 2024",Rated 5 out of 5 stars,Margarette resolved my issue swiftly…,Margarette resolved my issue swiftly and with no problem. excellent service,"April 05, 2024"
Nejat Muzeyen,1,ET,"May 11, 2024",Rated 1 out of 5 stars,This stupid website it blocked me…,This stupid website it blocked me permanently when I complete my profile,"May 11, 2024"
Rebecca Hofstetter,1,US,"May 7, 2024",Rated 5 out of 5 stars,Helpful to everything I needed.,Helpful to everything I needed.Assured me there were no more charges.,"May 07, 2024"
Tammy L. Poling,2,US,"May 17, 2024",Rated 5 out of 5 stars,Carlos was very helpful today,Carlos was very helpful today! 5*!,"May 17, 2024"
Fidelina Cooper,1,AU,"May 15, 2024",Rated 5 out of 5 stars,Fast service and prompt answer.,,"May 15, 2024"
Cata Romero,1,US,"May 15, 2024",Rated 5 out of 5 stars,Fast reply and easy to understand,Fast reply and easy to understand,"May 15, 2024"
Lindsey Long,1,US,"May 13, 2024",Rated 5 out of 5 stars,Carlos was quick and helpful!,,"May 13, 2024"
Deeva Williams,4,US,"Jun 13, 2024",Rated 5 out of 5 stars,Manuel was very helpful,Manuel was very helpful.  I appreciate his help and professionalism.,"June 13, 2024"
Desmond,17,GB,"Aug 16, 2024",Rated 5 out of 5 stars,Excellent Communication,Excellent CommunicationVery informative and helpful,"August 16, 2024"
Jill Wood,1,US,"May 15, 2024",Rated 5 out of 5 stars,Kathrine was very helpful,,"May 15, 2024"
George Valles,1,US,"May 17, 2024",Rated 5 out of 5 stars,On line help,The specialist was quick and responded with great customer service.,"May 17, 2024"
Kenji Lee,1,MY,"Aug 8, 2024",Rated 1 out of 5 stars,total rubbish,,"August 08, 2024"
Cassandra Mathieu,1,CA,4 days ago,Rated 4 out of 5 stars,Account,Very satisfied,"August 30, 2024"
Barry Scruggins,2,US,"May 3, 2024",Rated 5 out of 5 stars,Person was friendly and knowledgeable,Person was friendly and knowledgeable. Very professional and pleasant.,"May 03, 2024"
GINGER JOHNSTON,2,US,"Aug 22, 2024",Rated 5 out of 5 stars,Trust,No pushiness.,"August 22, 2024"
JOHN SIMOS,1,GR,"Jun 19, 2024",Rated 4 out of 5 stars,the refund of the order was accepted…,the refund of the order was accepted immediately when asked for,"June 19, 2024"
Tatiana,1,US,"May 30, 2024",Rated 4 out of 5 stars,Getting assistance for returns is very…,Getting assistance for returns is very easy,"May 30, 2024"
DJ Roster,1,US,"May 29, 2024",Rated 5 out of 5 stars,Quick action,,"May 29, 2024"
Greg L Hutchens,1,US,"Aug 13, 2024",Rated 5 out of 5 stars,Sebastian was awesome.,,"August 12, 2024"
Emisy Records,1,SE,"Jul 18, 2024",Rated 1 out of 5 stars,It's asking me 4 a nick name of 8 don't…,It's asking me 4 a nick name of 8 don't know.,"July 18, 2024"
